case_ts_number,requested_date,machine_salesmodel,machine_hours,part_number,part_description,complaint,description,complaint_local_language,test_performed,test_performed_local_language,site_conditions,correction,correction_local_language,cause,cause_local_language,additional_machine_attachments,state,causing_part_name,function_group,defect_code_id,defect_code_description,defect_code_definition,application_short_description,fault_codes
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245222 Particulate Filter Pressure Sensor """"A"""" - Signal Amplitude Greater Than Maximum",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245222""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245217 Particulate Filter Pressure Sensor """"A"""" - Circuit Voltage Above Threshold",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245217""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A424 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Stuck H,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A424""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A485 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Above A,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A485""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A422 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Amplitu,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A422""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245217 Particulate Filter Pressure Sensor """"A"""" - Circuit Voltage Above Threshold",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245217""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A485 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Above A,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A485""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245222 Particulate Filter Pressure Sensor """"A"""" - Signal Amplitude Greater Than Maximum",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245222""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A424 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Stuck H,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A424""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A485 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Above A,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A485""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A422 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Amplitu,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A422""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245217 Particulate Filter Pressure Sensor """"A"""" - Circuit Voltage Above Threshold",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245217""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A422 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Amplitu,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A422""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245222 Particulate Filter Pressure Sensor """"A"""" - Signal Amplitude Greater Than Maximum",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245222""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245222 Particulate Filter Pressure Sensor """"A"""" - Signal Amplitude Greater Than Maximum",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245222""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A422 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Amplitu,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A422""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A424 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Stuck H,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A424""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245217 Particulate Filter Pressure Sensor """"A"""" - Circuit Voltage Above Threshold",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245217""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A485 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Above A,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A485""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245222 Particulate Filter Pressure Sensor """"A"""" - Signal Amplitude Greater Than Maximum",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245222""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A424 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Stuck H,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A424""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245217 Particulate Filter Pressure Sensor """"A"""" - Circuit Voltage Above Threshold",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245217""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A422 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Amplitu,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A422""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245222 Particulate Filter Pressure Sensor """"A"""" - Signal Amplitude Greater Than Maximum",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245222""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A422 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Amplitu,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A422""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A485 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Above A,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A485""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245222 Particulate Filter Pressure Sensor """"A"""" - Signal Amplitude Greater Than Maximum",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245222""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A424 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Stuck H,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A424""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A485 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Above A,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A485""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245222 Particulate Filter Pressure Sensor """"A"""" - Signal Amplitude Greater Than Maximum",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245222""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A424 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Stuck H,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A424""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A485 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Above A,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A485""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A422 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Amplitu,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A422""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A424 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Stuck H,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A424""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.","P245217 Particulate Filter Pressure Sensor """"A"""" - Circuit Voltage Above Threshold",null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P245217""]"
TS3006134,2018-09-27T18:02:47Z,L110H,60,22927573,null,"Parked Regen required at 30 hours and 60 hours. DTC's P24A422, P24A424, P24A485, P245217, P245222.",P24A422 Diesel Particulate Filter Restriction - Soot Accumulation Too High (Bank 1) - Signal Amplitu,null,"TechTool operations 28407-3 Sensor value monitoring, 254563-3 Exhaust aftertreatment diagnostics (regen started for high soot load),
 25474-3 exhaust treatment system reset, 
25920-3 service regeneration, 
Replaced SE2519.
Checked wireing for moister and loos connections.",null,null,null,null,null,null,null,In Progress,VOE22927573,254 Catalytic converter; exhaust emission control equipment,c1362df9db964b004dd1f3361d961964,EATS Problem (Only applicable for T4I & T4F),"All problems and/or failures related to EATS, only","Pallet fork operation, Material handling arm operation","[""P24A422""]"
